Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
2.2993e+05,-57.0938
2.3019e+05,-57.0938
2.3045e+05,-59.0844
2.3071e+05,-61.0719
2.3097e+05,-61.0719
2.3124e+05,-61.0719
2.3150e+05,-59.5688
2.3176e+05,-58.0625
2.3202e+05,-57.5781
2.3228e+05,-57.0938
2.3254e+05,-59.0844
2.3280e+05,-61.0719
2.3306e+05,-61.0719
2.3332e+05,-61.0719
2.3358e+05,-59.0844
2.3384e+05,-57.0938
2.3410e+05,-59.0844
2.3436e+05,-61.0719
2.3462e+05,-61.0719
2.3488e+05,-61.0719
2.3514e+05,-61.0719
2.3540e+05,-61.0719
2.3566e+05,-59.0844
2.3592e+05,-57.0938
2.3618e+05,-59.0844
2.3644e+05,-61.0719
2.3670e+05,-61.0719
2.3696e+05,-61.0719
2.3722e+05,-62.5781
2.3748e+05,-64.0812
2.3775e+05,-60.5875
2.3801e+05,-57.0938
2.3827e+05,-60.5875
2.3853e+05,-64.0812
2.3879e+05,-58.5125
2.3905e+05,-52.9438
2.3931e+05,-57.0094
2.3957e+05,-61.0719
2.3983e+05,-61.0719
2.4009e+05,-61.0719
2.4035e+05,-61.0719
2.4061e+05,-61.0719
2.4087e+05,-61.0719
2.4113e+05,-61.0719
2.4139e+05,-59.0844
2.4165e+05,-57.0938
2.4191e+05,-60.5875
2.4217e+05,-64.0812
2.4243e+05,-62.5781
2.4269e+05,-61.0719
2.4295e+05,-62.5781
2.4321e+05,-64.0812
2.4347e+05,-60.5875
2.4373e+05,-57.0938
2.4399e+05,-59.0844
2.4426e+05,-61.0719
